kind,etag,id,snippet.channelId,snippet.videoId,snippet.topLevelComment.kind,snippet.topLevelComment.etag,snippet.topLevelComment.id,snippet.topLevelComment.snippet.channelId,snippet.topLevelComment.snippet.videoId,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.authorDisplayName,snippet.topLevelComment.snippet.authorProfileImageUrl,snippet.topLevelComment.snippet.authorChannelUrl,snippet.topLevelComment.snippet.authorChannelId.value,snippet.topLevelComment.snippet.canRate,snippet.topLevelComment.snippet.viewerRating,snippet.topLevelComment.snippet.likeCount,snippet.topLevelComment.snippet.publishedAt,snippet.topLevelComment.snippet.updatedAt,snippet.canReply,snippet.totalReplyCount,snippet.isPublic,replies.comments
youtube#commentThread,ojSWC8D_-_Dk9Sy30bLJRsd3pG4,UgyL3QkkO7_T-V8kS0F4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,youtube#comment,EZMQR-xtGydzofDInzAtYhbqnLs,UgyL3QkkO7_T-V8kS0F4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,"Hagan un episodio sobre la defenza de boqueron durante la guerra del chaco, son las termopilas de latinoamerica. DEFENZA DEL FORTIN BOQUERON es brutal no se arrepentiran","Hagan un episodio sobre la defenza de boqueron durante la guerra del chaco, son las termopilas de latinoamerica. DEFENZA DEL FORTIN BOQUERON es brutal no se arrepentiran",@warrobotsdon-roro2537,https://yt3.ggpht.com/ytc/AIdro_kNz_6aT-NycY4qt2fXvKjNAZKgnU-RWARilIH00fMc1hywr9x8YSSH3p64Yrcz7pNH6Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@warrobotsdon-roro2537,UCPfpPCYyrAKGS11NqvWMuqw,True,none,0,2024-07-29T11:59:40Z,2024-07-29T11:59:40Z,True,0,True,
youtube#commentThread,_ej2MeWDB_Kc4QvzkPw9UtbQe5w,UgzP4gYmcmekzRR_j2h4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,youtube#comment,OHrd2JtzUN6EPaGzV-fr81xWL40,UgzP4gYmcmekzRR_j2h4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,"Me encantan sus babosadas, &quot;Dolores Umbridge&quot; &quot;Dracarys&quot;<br>¡¡¡Saludos!!!","Me encantan sus babosadas, ""Dolores Umbridge"" ""Dracarys""
¡¡¡Saludos!!!",@LauraE.LedezmaFlores,https://yt3.ggpht.com/-Fh_f0uPKjkyVY5_n_KfFJ5ENVLV4N45WV-Sq33zYwPZbvNak8a1LY9Zebe3t7MdZt1B1AR8ygw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@LauraE.LedezmaFlores,UCDSYd0Yr7gaxikI7Z2A4hvg,True,none,0,2024-07-17T19:24:59Z,2024-07-17T19:24:59Z,True,0,True,
youtube#commentThread,dBM5i39NBAv27jgb480trhZ1_2U,UgzwPRtHR63k7pBKdpZ4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,youtube#comment,iOBuW86QRWpdyv42GWpmef3TK1Y,UgzwPRtHR63k7pBKdpZ4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,Bonjour a Teka desde Québec donde también vine a darme en la madre con el francés de aquí como él y para Íker… oooleee,Bonjour a Teka desde Québec donde también vine a darme en la madre con el francés de aquí como él y para Íker… oooleee,@AbrilRodriguez-k2r,https://yt3.ggpht.com/FiXAnRgR05HSFqAzkbZFA3-NM-wAONwrwy3rrLmapr9vUbSQrDhBZZm4VyLTYuTqzl9D-UzQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@AbrilRodriguez-k2r,UCDSdEL4xwsjXaI-9A5chgmw,True,none,0,2024-07-17T01:45:17Z,2024-07-17T01:45:17Z,True,0,True,
youtube#commentThread,foRfT6zdilOv3g8LukuRo0Skmrw,UgxnRK1-7X1ncNEapiJ4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,youtube#comment,F9T27XWauczWti6xrHAylGe1dYA,UgxnRK1-7X1ncNEapiJ4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,Weey quitaron los comentarios de spotify!<br>A mi me enoja Mario Delgado como secretario de educación.,"Weey quitaron los comentarios de spotify!
A mi me enoja Mario Delgado como secretario de educación.",@musicodesconocido,https://yt3.ggpht.com/6d9wkRzKT_0h46LyR8D8_i8aCMPrqzYxBdsG2WlICSQZYb0xyqrQobjTpXiS0ylyyyESuNyQhcs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@musicodesconocido,UCRV6qG5h6C4PmMn1qtE-Z1Q,True,none,0,2024-07-16T14:56:31Z,2024-07-16T14:56:31Z,True,0,True,
youtube#commentThread,Izkd3LU0gGQHZt2nUHDDrCz5gkc,UgzOz2GZ8F-vczcoSTF4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,youtube#comment,zZAs5lAK0RwEMvTQTVIkklFayzc,UgzOz2GZ8F-vczcoSTF4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,Weey quitaron los comentarios de spotify!<br>A mi me enoja Mario Delgado como secretario de educación.,"Weey quitaron los comentarios de spotify!
A mi me enoja Mario Delgado como secretario de educación.",@musicodesconocido,https://yt3.ggpht.com/6d9wkRzKT_0h46LyR8D8_i8aCMPrqzYxBdsG2WlICSQZYb0xyqrQobjTpXiS0ylyyyESuNyQhcs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@musicodesconocido,UCRV6qG5h6C4PmMn1qtE-Z1Q,True,none,0,2024-07-16T14:56:11Z,2024-07-16T14:56:11Z,True,0,True,
youtube#commentThread,voaZwaDwsc0os4nMPUZzdhgxbxg,Ugy9B6y-b3bP4fN9eYV4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,youtube#comment,KdZxwssZHYGPWwAeRAOr8se8cuE,Ugy9B6y-b3bP4fN9eYV4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,Fué una actuación nivel rosa de Guadalupe <br>Las Sgtes elecciones están parejas por lo bajo ya que no hay ningún personaje que sea muy popular,"Fué una actuación nivel rosa de Guadalupe 
Las Sgtes elecciones están parejas por lo bajo ya que no hay ningún personaje que sea muy popular",@fabiomejiamorales7350,https://yt3.ggpht.com/ytc/AIdro_kjwwlqXeqghXfYloY1pSHxr6tuMy9YAK-r-ZrhxobjAKDN=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@fabiomejiamorales7350,UCmPlCn81qJpnGUPSqw6r94Q,True,none,1,2024-07-16T00:06:18Z,2024-07-16T00:06:18Z,True,0,True,
youtube#commentThread,sF2lwFpmbHMImFSyCJwHi8uRjMw,UgwW53VYxnH3hd3XIzV4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,youtube#comment,4mYeliX-Ejz_FPkvqVAzviZkKoA,UgwW53VYxnH3hd3XIzV4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,"El emo Morales nunca aparecio, cambien de editor, nunca pone lo que le piden!","El emo Morales nunca aparecio, cambien de editor, nunca pone lo que le piden!",@VanessaHV.14,https://yt3.ggpht.com/316JzjTgpuEjwV1jXbiHXHqw8PajlnQpnrVbTPnHkw4yUlxz2VEuiz4jhjzcfZX665hHmwLWdQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@VanessaHV.14,UC6Ii33rzP1DJcCYrWeEdgjQ,True,none,1,2024-07-15T18:51:28Z,2024-07-15T18:51:44Z,True,0,True,
youtube#commentThread,i5dL0pKY3ITmHfq9qqw2YC-dO54,Ugyn1Vg1Epb_ZoYbspB4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,youtube#comment,3YvgZiZk3WVFt-Yk4UukxI1j4IA,Ugyn1Vg1Epb_ZoYbspB4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,A ver a qué hora sacan otro podcast ? Ya pasaron 2 semanas ches huevones,A ver a qué hora sacan otro podcast ? Ya pasaron 2 semanas ches huevones,@YamilOrtega-rl9vb,https://yt3.ggpht.com/ytc/AIdro_lk8UN6Sm2yXevei5XBZ0muyiJhvTS1zIloiZrEPT_2wh0ZN2PNXNrKYz2OHyMARUfXcg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@YamilOrtega-rl9vb,UCmrcWiAjbTFmlwO_6iUUOGQ,True,none,1,2024-07-15T09:50:33Z,2024-07-15T09:50:33Z,True,0,True,
youtube#commentThread,VocxU9pOISsNwAaKL3Gcm9MOQkI,Ugx2d7WKoNURUjM1g0l4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,youtube#comment,KkAY-2qZ513-Cx2VnWiYt2j1aIk,Ugx2d7WKoNURUjM1g0l4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,"Imaginense que si ustedes no lo vieron venir, nosotros tampoco. Evacuaron las universidades, cancelaron todos los eventos culturales y la gente corrio a comprar alimentos, esperaban media hora por un maple de huevo.","Imaginense que si ustedes no lo vieron venir, nosotros tampoco. Evacuaron las universidades, cancelaron todos los eventos culturales y la gente corrio a comprar alimentos, esperaban media hora por un maple de huevo.",@Is8400,https://yt3.ggpht.com/ytc/AIdro_kAtmjayS718KK9AUGp8B_xTxW3ygVOUDYNV3F8IJMhxA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Is8400,UCCp7hw2Qfk63al3FRyVEt3Q,True,none,1,2024-07-13T02:40:47Z,2024-07-13T02:40:47Z,True,0,True,
youtube#commentThread,Fy5j7keSyDrs9-O_Z2zWTcC-F2Q,UgwiL_ffvlnZJLEErkN4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,youtube#comment,dhR-t-OxqUoSiOgwfE7gbFKoUKc,UgwiL_ffvlnZJLEErkN4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,FOFeh_vfcD8,"Hola :D Dato curioso, Bolivia tiene el record mundial con mas de 100 golpes de estado en su historia desde 1825. Y segun me acuerdo de unos documentales, no es la primera vez que un partido se hace un autogolpe &quot;El mamertazo&quot;","Hola :D Dato curioso, Bolivia tiene el record mundial con mas de 100 golpes de estado en su historia desde 1825. Y segun me acuerdo de unos documentales, no es la primera vez que un partido se hace un autogolpe ""El mamertazo""",@Is8400,https://yt3.ggpht.com/ytc/AIdro_kAtmjayS718KK9AUGp8B_xTxW3ygVOUDYNV3F8IJMhxA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Is8400,UCCp7hw2Qfk63al3FRyVEt3Q,True,none,1,2024-07-13T02:33:50Z,2024-07-13T02:37:21Z,True,0,True,
