kind,etag,id,snippet.channelId,snippet.videoId,snippet.topLevelComment.kind,snippet.topLevelComment.etag,snippet.topLevelComment.id,snippet.topLevelComment.snippet.channelId,snippet.topLevelComment.snippet.videoId,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.authorDisplayName,snippet.topLevelComment.snippet.authorProfileImageUrl,snippet.topLevelComment.snippet.authorChannelUrl,snippet.topLevelComment.snippet.authorChannelId.value,snippet.topLevelComment.snippet.canRate,snippet.topLevelComment.snippet.viewerRating,snippet.topLevelComment.snippet.likeCount,snippet.topLevelComment.snippet.publishedAt,snippet.topLevelComment.snippet.updatedAt,snippet.canReply,snippet.totalReplyCount,snippet.isPublic,replies.comments,snippet.textDisplay,snippet.textOriginal,snippet.parentId,snippet.authorDisplayName,snippet.authorProfileImageUrl,snippet.authorChannelUrl,snippet.authorChannelId.value,snippet.canRate,snippet.viewerRating,snippet.likeCount,snippet.publishedAt,snippet.updatedAt
youtube#commentThread,_wcmX2XLn6qbgILA8lktnOQZdmw,UgxyGr6o8i1GePW7Ku94AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,youtube#comment,siTltz0GLuRvOOtYHLyrqI-tGTA,UgxyGr6o8i1GePW7Ku94AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,No supero el &quot;a Alejandro Magno le gustaban las cosas grandes y erguidas&quot; JAJAJAJ,"No supero el ""a Alejandro Magno le gustaban las cosas grandes y erguidas"" JAJAJAJ",@marey8440,https://yt3.ggpht.com/wRMaGnKqLZsmo7fR6bU2-BVwAMV-Ws-XXK2q0-REg1N5ba2goTfMTfWXLCaqq-SmcJz9sqGU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@marey8440,UC1iyj6I_iZCRqUpS5t47IPg,True,none,0.0,2024-08-15T20:45:50Z,2024-08-15T20:45:50Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,-3JZNfC0L8HkvvT8tr66cjZAEXQ,UgyBc01slQ0uyw9NxAh4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,youtube#comment,QoSnkA-9nOgE1peWh3VjyE0yMW4,UgyBc01slQ0uyw9NxAh4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,El editor no puso la naumaquima en el cuadro 😢,El editor no puso la naumaquima en el cuadro 😢,@Miguimin-fk8zc,https://yt3.ggpht.com/ytc/AIdro_lkd0rxDNf5fMK_UoPYRhOsgwNtwY9ZOs1KY-dpA5QhVhAqxMEwBKhHbjPdHHUvhecsUw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Miguimin-fk8zc,UCoYXweE7TB2DiFDAVLpCQ2w,True,none,0.0,2024-08-11T14:18:23Z,2024-08-11T14:18:56Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,5e8HkeGEL2fHJDTcP2WHpDN2XPY,Ugy5bNIx8gvTksZnPtV4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,youtube#comment,yTcwrysnedSDnSI3gDXVlieJ3D4,Ugy5bNIx8gvTksZnPtV4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,"Oye tuviste un error al mencionar que Sila era rey de Roma en la primera guerra civil de Roma, ya que lo máximo que llegó a ser fue dictador. En esa época no existía la monarquía , desde el 509 a.c. y no sería restaurada hasta 50 años después.","Oye tuviste un error al mencionar que Sila era rey de Roma en la primera guerra civil de Roma, ya que lo máximo que llegó a ser fue dictador. En esa época no existía la monarquía , desde el 509 a.c. y no sería restaurada hasta 50 años después.",@mariafloressanchez676,https://yt3.ggpht.com/ytc/AIdro_nfSppLCD_p_SuXDmSdAE7-9-LGLur8qLGgVYoVEvclLtz-hcyf1aFDVF51ZCP_GaEGag=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mariafloressanchez676,UCqoVvJ1qFh0Fpshmo-mbV4w,True,none,0.0,2024-07-31T22:36:54Z,2024-07-31T22:36:54Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,csbzkaxsEm2cK3ta-2kZx4cb190,UgypJ5n4LeZjaGxXFZt4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,youtube#comment,sIkXQNUVTGLKqT8JofqEFe8prFI,UgypJ5n4LeZjaGxXFZt4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,Intenten con Franco luego esta metiendose mucho a la historia,Intenten con Franco luego esta metiendose mucho a la historia,@saulpazservin7345,https://yt3.ggpht.com/ytc/AIdro_kps6DIo89WbMaEwdoGBNPMP6db5FhaHZUYsYXAHD6uZiKI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@saulpazservin7345,UCU7Ek7bu7ipL8IzDQ-XzcYw,True,none,0.0,2024-07-28T06:33:18Z,2024-07-28T06:33:18Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,RtpoYFqctKRmvWc_qth4zrwyt7o,UgzOrmqRVuogTd5b9Z54AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,youtube#comment,66Q0NJDbruFJyRwOhvQHOE2peZg,UgzOrmqRVuogTd5b9Z54AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,"Siento que estaría chingón verlos algún día en la cotorrisa o que ellos vengan a su podcast, siento que harían buen match y verlos como sacan chistes.","Siento que estaría chingón verlos algún día en la cotorrisa o que ellos vengan a su podcast, siento que harían buen match y verlos como sacan chistes.",@Brandon-David123,https://yt3.ggpht.com/j4JcatkHo_xV53Fa-OrFPbJk0n4lUweFC7OVHYgH9RtYIa5MtsxjEpHRIP1RGUhDah40uPm-=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Brandon-David123,UCJD7TDv4asPvdVXhebGsZ6A,True,none,0.0,2024-07-06T17:18:59Z,2024-07-06T17:18:59Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,hDcCHQGfz-u6BBf32SD4HcQP71E,Ugxe6iO2wNdupcfRqVt4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,youtube#comment,1BXQHssjkVVpEsmXlWDsnLlAGUM,Ugxe6iO2wNdupcfRqVt4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,"@santiagoposteguillo, gracias por hacer historia","@santiagoposteguillo, gracias por hacer historia",@rancid2703,https://yt3.ggpht.com/ytc/AIdro_lIEWBHGr-yJhjqt-xyNg1UaWSfj-Lq5QJnw1b9HxoA4fQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@rancid2703,UCMfSx5RIUxJbNwA0N8w4CHA,True,none,0.0,2024-06-21T06:08:42Z,2024-06-21T06:08:42Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,jmMNM99z96HjbFLEdT8jxAN0Yww,Ugw8xIdd3d7NQTG_fm54AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,youtube#comment,wtrTafsM2WWxv4bglv2LBqFhVr4,Ugw8xIdd3d7NQTG_fm54AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,otro más visto v:,otro más visto v:,@OscarOrtiz-ec5kr,https://yt3.ggpht.com/ytc/AIdro_l6Am66frqu7zr8mtZM9FKdliqb1Ut0JHzQZDJqJ1-ugA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@OscarOrtiz-ec5kr,UCEDg74A6EHyIo9nj8Tci0ZQ,True,none,0.0,2024-06-20T19:29:02Z,2024-06-20T19:29:02Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,RRO1WColJnxtSGP7yo-kWDOKAYI,UgzIKrDRdcGk13aMtul4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,youtube#comment,917ZZpLvJerNKCJ0nEMQQLyXni0,UgzIKrDRdcGk13aMtul4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,"Cada vez que los escucho, muero de risa y me dan ganas de abrir una cervecita. Saludos desde República Dominicana.","Cada vez que los escucho, muero de risa y me dan ganas de abrir una cervecita. Saludos desde República Dominicana.",@ceciliamendiola8646,https://yt3.ggpht.com/CkUva0qqlMBDg27dx4PrXrwBF7bld6qUDpoBhqL-ANegLsdqn0XgZOkckf6ZLCcHcYIEUU_MSQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ceciliamendiola8646,UCv1DQCutPir2ff-IU3HLf8g,True,none,2.0,2024-06-18T21:15:49Z,2024-06-18T21:15:49Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,WyNDQDHCVNORUI62_mCe0142QZI,Ugw6jsWKNHOt5q_aZPV4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,youtube#comment,brr5YgoXAH36XDbR8lMqzAbEdmI,Ugw6jsWKNHOt5q_aZPV4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,Milei sigue reclamando la soberanía de las islas Malvinas amigo.,Milei sigue reclamando la soberanía de las islas Malvinas amigo.,@leag5098,https://yt3.ggpht.com/ytc/AIdro_mOxkptJLWJXEXcCYXn8owMGKBJWoWfqARpNELiYayFHsc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@leag5098,UCXfje7G9VdCCufjwgI_ZYgA,True,none,0.0,2024-06-15T06:23:27Z,2024-06-15T06:23:27Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,hIXKm5RZpQVWqmWFYOMSTldQsDQ,UgwlFjeL-egVEgzIPdx4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,youtube#comment,sIIUYAGhV07HyGJjEYr9cCWeFD4,UgwlFjeL-egVEgzIPdx4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,ShW6FY-vbmo,"Julio César murió en el 44 antes de nuestra era, mientras que el Coliseo fue terminado por Tito Vespasiano en el 80 de nuestra era. César no pudo inundar el coliseo, sin embargo si alguno de los muchos circos romanos.","Julio César murió en el 44 antes de nuestra era, mientras que el Coliseo fue terminado por Tito Vespasiano en el 80 de nuestra era. César no pudo inundar el coliseo, sin embargo si alguno de los muchos circos romanos.",@israellopezdurazo5826,https://yt3.ggpht.com/ytc/AIdro_kTMtyvZD4nO-tv2yGFKkbugXk3R2RyGXSGna1EpVR-q00=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@israellopezdurazo5826,UCRvmobuLEAmv1Lnw9_WK5Rw,True,none,0.0,2024-06-14T13:50:59Z,2024-06-14T13:50:59Z,True,0.0,True,,,,,,,,,,,,,
