kind,etag,id,snippet.channelId,snippet.videoId,snippet.topLevelComment.kind,snippet.topLevelComment.etag,snippet.topLevelComment.id,snippet.topLevelComment.snippet.channelId,snippet.topLevelComment.snippet.videoId,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.authorDisplayName,snippet.topLevelComment.snippet.authorProfileImageUrl,snippet.topLevelComment.snippet.authorChannelUrl,snippet.topLevelComment.snippet.authorChannelId.value,snippet.topLevelComment.snippet.canRate,snippet.topLevelComment.snippet.viewerRating,snippet.topLevelComment.snippet.likeCount,snippet.topLevelComment.snippet.publishedAt,snippet.topLevelComment.snippet.updatedAt,snippet.canReply,snippet.totalReplyCount,snippet.isPublic,replies.comments,snippet.textDisplay,snippet.textOriginal,snippet.parentId,snippet.authorDisplayName,snippet.authorProfileImageUrl,snippet.authorChannelUrl,snippet.authorChannelId.value,snippet.canRate,snippet.viewerRating,snippet.likeCount,snippet.publishedAt,snippet.updatedAt
youtube#commentThread,iXI5F5WJi3-NrpNrzwnbm_2jnrk,Ugz0Zqtrb_JtRSDizPB4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,youtube#comment,fN8jt_wMsYR-u1c1n1qLR9LdB9Q,Ugz0Zqtrb_JtRSDizPB4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,"Fan del potcast en Spotify, empecé a escucharlos este año 2024 y ya voy en <br>el cap. <a href=""http://www.youtube.com/results?search_query=%23104"">#104</a>.<br>♥ Amo la introducción de 15-20 min, sigan así, me alegran el camino en el metro ♥<br>literal, apenas entro a VERLOS regresando a escuchar/ver <br>𝑻𝒆𝒐𝒕𝒊𝒉𝒖𝒂𝒄𝒂𝒏 1 y 2<br>Saludos!","Fan del potcast en Spotify, empecé a escucharlos este año 2024 y ya voy en 
el cap. #104.
♥ Amo la introducción de 15-20 min, sigan así, me alegran el camino en el metro ♥
literal, apenas entro a VERLOS regresando a escuchar/ver 
𝑻𝒆𝒐𝒕𝒊𝒉𝒖𝒂𝒄𝒂𝒏 1 y 2
Saludos!",@ANGELE13nuit,https://yt3.ggpht.com/ytc/AIdro_n8_c08K49ta_Rmx4nCFTFYftzwgWLisTk7IHs8FinrrA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ANGELE13nuit,UCa-horileJFag1nLFZdwsSQ,True,none,0.0,2024-10-09T18:23:15Z,2024-10-09T18:23:15Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,Ogc4KFNeoTfWh_dSAJIQc3e6oQE,UgydFcDhN-9LRGpLidZ4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,youtube#comment,pZo2R-fUxrq6leR392QxO9zIwXw,UgydFcDhN-9LRGpLidZ4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,Parte 7 y parte 9 como las etapas de las pirámides 😊,Parte 7 y parte 9 como las etapas de las pirámides 😊,@SNAIDWER,https://yt3.ggpht.com/ytc/AIdro_m4AfvkQNBHJRHls5MImsmA5XY8e75Yt9H8FjAwBzMzmNs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@SNAIDWER,UC-eJoAF8Pcd9IbzLLa_rvTg,True,none,0.0,2024-09-06T13:40:32Z,2024-09-06T13:40:32Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,CBU_dF-yOGs-WOsVcyuzoa7cm0o,Ugyr1TSeNMVx1CK_5r94AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,youtube#comment,WoPPLeO0aK87MZ9zCO9yQylLaj8,Ugyr1TSeNMVx1CK_5r94AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,"<a href=""https://www.youtube.com/watch?v=qSjSUN6Rxhk&amp;t=385"">6:25</a> Inicia<br><a href=""https://www.youtube.com/watch?v=qSjSUN6Rxhk&amp;t=535"">8:55</a> Desarrollo arquitectónico<br><a href=""https://www.youtube.com/watch?v=qSjSUN6Rxhk&amp;t=1300"">21:40</a> Porque es del sol?<br><a href=""https://www.youtube.com/watch?v=qSjSUN6Rxhk&amp;t=2731"">45:31</a> Preguntas","6:25 Inicia
8:55 Desarrollo arquitectónico
21:40 Porque es del sol?
45:31 Preguntas",@victorfernandogilcalderon6242,https://yt3.ggpht.com/ytc/AIdro_mS6L9rTinw6-pvtkl2fHU8-FPSjgoNXGGys8vGW-_ITw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@victorfernandogilcalderon6242,UC_XTaP7e7GEki_dgCDZfW0A,True,none,0.0,2024-08-28T01:11:34Z,2024-08-28T01:51:05Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,Ol6a0HJ9slogIXwITiVDLLkd89g,UgwKLugMKg3TCbXgT5x4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,youtube#comment,8aBR0ivwYWfbdYixavI7bB_QPSk,UgwKLugMKg3TCbXgT5x4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,"Queremos todooooooo de Teotihuacan, ojala sea pronto 🙈","Queremos todooooooo de Teotihuacan, ojala sea pronto 🙈",@pamrl24,https://yt3.ggpht.com/TcS8Yah79r9rFRtLslrCJbAagCL7LB4k_CX_HqRKYTDYWajDZPHQ19X3P_YDf3EMls-BPAst=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@pamrl24,UCCR37xnLEhG80UHAlNB4dAQ,True,none,0.0,2024-08-23T05:02:53Z,2024-08-23T05:02:53Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,Ksm1BP0ZCDyJMLqWJvMpIt_ErdI,UgymkME8SCKSA2OQuIV4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,youtube#comment,dKRdVabwBwJBdg-0Sqz2W9vLlgY,UgymkME8SCKSA2OQuIV4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,Lo bueno es que no se sabe nada de los Teotihuacanos 😅,Lo bueno es que no se sabe nada de los Teotihuacanos 😅,@ivmarciott4695,https://yt3.ggpht.com/ytc/AIdro_mKrojca--bh6T1kP41dnZWFjEBed5ahFDPwFpTxICqGVs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ivmarciott4695,UCE4c_1LhjC2Re9pXZepXHHA,True,none,0.0,2024-08-09T20:48:46Z,2024-08-09T20:48:46Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,lZyqiIg2fBeMqwKhj2zHiqT17fA,UgyIqjXKI7MdR7WJ8H54AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,youtube#comment,wfGyW0OUIxEJPz5odajWlwKcHwQ,UgyIqjXKI7MdR7WJ8H54AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,"Son geniiales y ustedes hablando de phineas y ferb es mas genial, tambien me encanta la de ardillas por  doquier pero mi favorita es luchando con robots...","Son geniiales y ustedes hablando de phineas y ferb es mas genial, tambien me encanta la de ardillas por  doquier pero mi favorita es luchando con robots...",@celiamontiel2728,https://yt3.ggpht.com/ytc/AIdro_lChINaMGzuGgYEdxh2b3CDLHVRP0vOCNdungwimTXwMXnLgD61gOFh7OyoNaPYCYhBMA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@celiamontiel2728,UCNKIG_SElIqKsZjXGpkigjQ,True,none,0.0,2024-07-13T17:24:09Z,2024-07-13T20:55:03Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,BfFFkTVFdoClIYd0y-nYpchwidw,UgxMLmVA4ACvmYc20Nd4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,youtube#comment,rW9PchOWXJwcx93mkh35N9ic0Ik,UgxMLmVA4ACvmYc20Nd4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,"Hahahahahahaha si hay algo chimba! Es fumarse un porro  y escuchar historia para tontos, hace que todos sus chistes tengan más sentido!!! Los amo ❤❤❤❤","Hahahahahahaha si hay algo chimba! Es fumarse un porro  y escuchar historia para tontos, hace que todos sus chistes tengan más sentido!!! Los amo ❤❤❤❤",@kmilamekno1074,https://yt3.ggpht.com/ytc/AIdro_lilzk2pKgR5jwH1vPZlKQD3i5v2OL0XxnI0vv83ZpoM4o=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@kmilamekno1074,UCGI-Svhl2yKFNoCj3UjgQ4w,True,none,1.0,2024-07-11T17:02:05Z,2024-07-11T17:02:05Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,FjvUNgGa1uBzkdS6BA9SFsQ3Q7g,UgyEfqYA3dcxZxl1dY54AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,youtube#comment,bfqyfdOtUTNCOxNcDMMLKkfQ6V4,UgyEfqYA3dcxZxl1dY54AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,Me encanta el chismecito previo al chismecito histórico.😂❤,Me encanta el chismecito previo al chismecito histórico.😂❤,@carolinachavez5747,https://yt3.ggpht.com/ytc/AIdro_kaVR9i-dtpHrmgVeLbIfJh3PSggAeeSHBkeFCAt8E2EA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@carolinachavez5747,UC1FGTUWHTQA9p3wvnUXO5AQ,True,none,0.0,2024-07-06T04:57:26Z,2024-07-06T04:57:26Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,x4y1iNo8YVlfCfHRGFYoJGCnClU,Ugy3czwP2e88jiam4294AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,youtube#comment,WxdS7hutSpdxpZjjGPzJKh47XuA,Ugy3czwP2e88jiam4294AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,"Chingon, hablen de GUACHIMONTONES ZONA ARQUEOLOGICA EN GDL CON ESTRUCTURAS CIRCULARES","Chingon, hablen de GUACHIMONTONES ZONA ARQUEOLOGICA EN GDL CON ESTRUCTURAS CIRCULARES",@adanflores8711,https://yt3.ggpht.com/ytc/AIdro_kToWTo9cfPIW0F1gnatUSdIPwNLaYbQJZbOoILPNY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@adanflores8711,UC80uODVSVMjeJuBWgVHsm8w,True,none,0.0,2024-07-04T17:05:15Z,2024-07-04T17:05:15Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,-TVvVvhJlmZL5e41vWlXpOQl4JI,UgxxksqJGOyxYwNlZ-F4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,youtube#comment,g4jUtWOqveDA0GwcA18tdoALW4k,UgxxksqJGOyxYwNlZ-F4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,qSjSUN6Rxhk,"En el minuto <a href=""https://www.youtube.com/watch?v=qSjSUN6Rxhk&amp;t=1503"">25:03</a> dice que deberían ser 365 escalones por cada día del año pero en ese tiempo aún no se establecí cuántos días tiene un año, como sabían ellos que deberían de ser 365?","En el minuto 25:03 dice que deberían ser 365 escalones por cada día del año pero en ese tiempo aún no se establecí cuántos días tiene un año, como sabían ellos que deberían de ser 365?",@azucenamarquez6948,https://yt3.ggpht.com/5mx1khN6G2RVTRHz-y6brVi7Dm4ztZFnYI5KNft2qyhz1O8Frd2uo95qBw5oTvzZmd_Xc0SKsA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@azucenamarquez6948,UCVWowv6YtJhy5JksHNBncww,True,none,0.0,2024-06-29T00:01:18Z,2024-06-29T00:01:18Z,True,1.0,True,"[{'kind': 'youtube#comment', 'etag': 'YW1Y8iZfWcSTmvBtoTsbMW8jEsQ', 'id': 'UgxxksqJGOyxYwNlZ-F4AaABAg.A5FL_skGLstA77qyJh-p8w', 'snippet': {'channelId': 'UCeYSnd34IPe57sM8hkjWhrw', 'videoId': 'qSjSUN6Rxhk', 'textDisplay': 'Porque ese saber no era exclusivo de Europa, aquí también teníamos astrónomos y usaban calendarios más exactos', 'textOriginal': 'Porque ese saber no era exclusivo de Europa, aquí también teníamos astrónomos y usaban calendarios más exactos', 'parentId': 'UgxxksqJGOyxYwNlZ-F4AaABAg', 'authorDisplayName': '@gerardomarin3704', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AIdro_llsVXXNftH3IeJbqvGiarCVgu80IyChxSps7u5X2xSosc=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/@gerardomarin3704', 'authorChannelId': {'value': 'UCSx1Rju_L2MpgAxcmxgSmNg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2024-08-14T19:13:07Z', 'updatedAt': '2024-08-14T19:13:33Z'}}]",,,,,,,,,,,,
